AGEP,MAR,SCHL,SEX,PERNP,RAC1P
0,5,,2,,1
54,1,20,1,88000,1
55,1,16,2,0,1
25,5,16,2,4800,1
19,5,18,2,4000,1
39,3,20,2,77000,1
12,5,10,1,,1
8,5,6,2,,1
16,5,14,1,0,9
12,5,10,1,,9
8,5,6,2,,9
5,5,3,2,,9
39,4,20,1,76000,1
48,1,16,1,50000,8
43,1,16,2,0,8
17,5,14,1,0,8
9,5,7,1,,8
33,1,22,2,100000,6
30,1,20,1,120000,6
30,5,21,2,37500,1
50,1,21,2,119000,1
50,1,16,1,53000,1
38,3,23,1,36000,1
36,3,13,2,13000,1
15,5,12,2,,1
10,5,6,1,,1
26,1,20,2,3000,1
28,1,20,1,0,9
49,3,19,2,0,1
17,5,14,1,0,1
58,1,18,2,0,1
56,1,18,1,62000,1
39,1,21,1,50000,9
38,1,20,2,0,1
6,5,3,1,,9
3,5,1,2,,9
48,1,16,1,68000,1
44,1,21,2,75000,1
19,5,18,2,5000,1
54,5,20,2,16000,1
5,5,1,1,,1
5,5,2,1,,1
1,5,,1,,1
28,5,16,2,39000,1
24,3,20,2,22900,1
29,4,16,1,16600,1
60,5,18,1,270,1
71,1,19,2,0,1
72,1,20,1,36000,1
67,2,18,2,0,1
71,5,20,1,0,1
74,5,19,2,41000,1
49,5,19,2,45000,1
86,2,22,2,0,1
63,3,21,1,0,1
36,1,19,1,56000,1
34,1,19,2,0,1
10,5,7,1,,1
7,5,4,2,,1
2,5,,2,,1
51,3,16,1,0,1
30,5,16,1,0,1
33,4,20,1,42900,1
5,5,2,1,,1
2,5,,1,,1
47,4,17,2,36000,6
63,4,14,2,0,1
68,3,16,2,0,1
94,1,21,1,0,1
54,3,16,2,15000,1
22,5,16,1,0,1
72,1,21,1,0,1
69,1,16,2,0,1
43,3,20,2,30800,1
17,5,14,1,0,9
14,5,11,2,,1
12,5,9,2,,1
76,2,19,2,0,1
44,1,15,1,40000,1
36,1,19,2,5000,1
15,5,12,1,,1
58,1,22,2,0,1
58,1,21,1,222000,1
24,1,21,2,55000,1
24,1,21,1,6000,1
50,4,20,2,10000,1
21,5,20,2,7500,1
78,2,19,1,0,1
56,3,22,2,0,2
11,5,8,1,,9
64,5,19,1,0,1
30,5,20,1,60000,1
33,1,17,2,0,1
41,1,19,1,70000,3
15,5,11,1,,1
5,5,2,1,,1
5,5,2,1,,1
2,5,,2,,1
77,2,16,2,0,1
38,5,17,2,40000,1
60,1,21,1,89000,1
54,1,19,2,0,1
31,1,21,2,0,1
38,1,19,1,35000,1
5,5,2,1,,1
2,5,,2,,1
0,5,,1,,1
21,5,19,2,1700,1
24,5,22,2,6800,1
90,2,13,2,0,1
74,2,16,2,0,1
37,4,15,1,71000,2
18,5,15,1,0,2
18,5,16,1,12000,1
17,5,14,1,0,1
12,5,10,2,,1
12,5,9,2,,1
38,4,16,2,0,1
59,1,12,2,0,3
69,1,6,1,0,3
31,5,16,1,5000,3
54,2,1,2,0,3
65,1,16,1,0,2
66,1,17,2,0,2
66,2,19,2,0,1
58,3,18,2,0,1
43,1,18,2,44000,1
44,1,18,1,35000,1
15,5,12,2,,1
12,5,9,1,,1
67,2,13,2,13000,1
39,5,18,1,36000,1
5,5,2,2,,1
36,5,20,2,25000,1
41,1,21,1,70000,1
33,1,22,2,28000,1
4,5,2,1,,1
2,5,,1,,1
0,5,,1,,1
49,3,21,2,63000,1
50,1,7,2,180,8
32,5,20,1,0,8
12,5,9,2,,8
30,1,18,1,71000,9
29,1,17,2,60000,1
2,5,,1,,9
49,5,15,1,30000,9
40,1,19,2,25000,1
42,1,16,1,65000,1
18,5,14,2,0,1
16,5,12,1,0,1
13,5,10,1,,1
68,1,22,2,0,1
72,1,20,1,0,6
67,3,22,2,0,1
34,1,20,1,29000,1
49,1,21,2,87000,1
31,5,22,2,55000,6
30,5,23,1,25000,1
77,3,22,2,0,1
32,1,21,2,15000,1
34,1,20,1,50000,1
3,5,1,1,,1
1,5,,1,,1
34,5,22,2,24000,1
59,1,18,1,35300,1
69,1,16,2,0,1
62,2,19,1,0,1
50,3,19,2,16800,1
69,1,16,2,1500,1
71,1,1,1,0,1
46,3,20,2,28000,1
66,1,9,1,0,1
65,1,9,2,0,1
35,5,16,1,16800,1
11,5,8,2,,1
11,5,8,2,,1
9,5,5,2,,1
7,5,5,1,,1
32,5,10,2,7000,1
12,5,10,2,,1
30,5,24,1,50000,1
25,5,21,1,0,1
56,1,21,1,28000,8
52,1,1,2,24500,8
38,3,19,1,22000,8
32,3,20,1,36000,8
49,1,16,2,54000,1
43,1,15,1,47000,1
73,1,21,1,0,1
73,1,21,2,0,1
73,1,20,1,0,1
65,1,16,2,0,1
76,1,16,2,0,1
76,1,15,1,0,1
47,5,21,1,80000,1
45,3,21,2,20500,1
29,1,22,2,38000,1
37,1,21,1,35000,1
50,3,20,2,128000,1
16,5,13,1,0,1
14,5,11,1,,1
30,5,21,1,125000,1
66,3,21,2,0,1
37,3,22,2,50000,1
58,4,19,2,23000,1
67,1,22,1,0,1
60,1,22,2,0,1
53,1,16,2,28000,1
56,1,16,1,31200,1
77,3,19,2,0,1
76,1,21,1,0,1
74,1,21,2,0,1
47,1,14,1,150000,1
41,1,17,2,42800,1
16,5,13,1,600,1
57,3,10,1,0,1
54,1,22,1,125000,1
50,1,21,2,10000,1
17,5,14,2,2000,1
53,3,20,2,37800,1
56,1,16,1,53000,1
52,1,15,2,0,1
40,5,20,2,2300,3
14,5,11,1,,1
8,5,5,1,,1
35,5,15,1,10500,8
27,5,16,2,0,1
53,1,19,2,110000,1
55,1,19,1,100000,1
22,5,19,2,40000,1
36,1,21,2,220000,6
36,1,21,1,138000,6
4,5,2,1,,6
2,5,,2,,6
76,3,21,2,0,1
58,1,21,2,0,1
55,1,22,1,180000,1
60,1,21,2,140000,1
62,1,23,1,140000,6
25,5,21,2,45000,8
71,1,23,1,0,1
69,1,21,2,0,1
94,2,16,2,0,1
48,1,21,1,100000,1
38,1,19,2,0,1
17,5,14,2,0,1
9,5,6,1,,1
7,5,5,2,,1
39,1,21,2,67000,1
42,1,20,1,18500,1
17,5,14,1,0,1
16,5,13,2,0,1
13,5,9,1,,1
36,1,21,1,155000,1
33,1,23,2,123000,1
0,5,,2,,1
33,3,18,2,9000,1
0,5,,1,,9
37,3,20,1,8400,8
52,1,17,1,49500,1
42,1,9,2,15000,1
18,5,18,1,4200,1
10,5,6,2,,1
2,5,,2,,1
39,1,16,2,0,1
47,1,17,1,135000,1
15,5,11,1,,1
7,5,5,2,,1
69,3,21,1,0,1
64,3,21,2,0,1
49,5,18,1,0,9
21,5,19,2,10000,9
29,1,19,2,37000,1
31,1,20,1,60000,1
4,5,1,2,,1
2,5,,2,,1
60,1,21,2,1300,1
61,1,16,1,39100,1
48,1,16,1,61000,1
36,1,21,2,80000,1
15,5,13,1,,1
62,1,21,2,10000,1
58,1,22,1,125000,1
51,3,19,2,58000,8
63,3,22,2,65000,1
47,5,19,1,3500,1
57,1,21,1,181000,1
65,1,16,2,35000,1
45,3,21,2,75000,1
18,5,18,2,600,6
80,1,16,1,0,1
68,1,16,2,0,1
55,1,17,2,35000,1
42,1,16,1,18000,1
73,1,20,1,0,1
68,1,22,2,0,1
47,1,21,1,155000,1
41,1,21,2,0,1
5,5,2,1,,1
43,1,22,1,467000,1
43,1,20,2,9000,6
12,5,9,1,,9
12,5,9,2,,9
9,5,6,1,,9
42,1,20,2,12100,1
40,1,21,1,41600,1
69,1,22,1,0,1
73,1,21,2,0,1
41,5,21,1,37000,1
27,5,21,2,33200,1
26,5,21,1,58000,1
27,5,21,1,53000,1
43,1,22,1,73000,1
41,1,22,2,73000,1
12,5,9,1,,1
9,5,6,2,,1
32,1,21,1,89940,1
36,1,21,2,0,1
6,5,5,1,,1
5,5,3,1,,1
3,5,2,1,,1
35,1,19,1,27000,1
31,1,20,2,38700,1
27,5,19,2,3000,1
4,5,1,1,,1
0,5,,1,,1
28,5,21,1,35000,1
30,5,21,1,30000,1
70,2,16,2,0,9
30,5,17,1,0,1
17,5,12,1,0,1
14,5,11,2,,1
67,1,19,2,36000,1
72,1,19,1,0,1
20,5,18,1,20000,1
64,1,22,1,0,1
58,1,18,2,9400,1
29,5,20,2,13000,1
44,1,20,2,0,1
54,1,20,1,80000,1
20,5,21,1,13800,1
18,5,20,2,4700,1
17,5,19,1,3800,1
15,5,12,2,,1
27,5,11,1,40000,8
7,5,3,1,,8
22,5,11,2,25000,8
49,5,17,1,400,3
64,1,16,1,5000,1
62,1,16,2,53000,1
23,5,21,2,65000,1
58,1,19,2,20000,1
65,1,19,1,0,1
60,5,22,2,120000,1
59,5,21,1,15600,1
17,5,19,2,1200,1
24,5,19,1,10000,1
68,1,16,1,0,1
64,1,16,2,0,1
33,1,20,1,46000,1
30,1,16,2,0,1
10,5,6,2,,1
4,5,1,2,,1
0,5,,2,,1
62,1,16,2,0,9
65,1,16,1,0,9
53,3,15,2,0,2
36,5,16,1,0,2
55,3,16,1,48000,2
23,5,21,2,6700,1
21,5,19,2,3500,1
40,1,19,2,16000,1
42,1,21,1,91000,1
9,5,6,2,,1
6,5,3,2,,1
94,2,21,2,0,1
37,1,17,2,6000,3
37,1,11,1,55000,1
19,5,17,2,0,9
7,5,4,2,,9
77,3,18,2,0,1
75,1,19,1,0,1
72,1,21,2,0,1
47,1,12,1,26700,6
39,1,19,2,40000,6
20,5,18,1,50,6
68,2,1,2,0,6
36,1,18,1,63000,1
31,1,21,2,15000,6
74,3,20,2,18800,2
76,3,1,2,0,1
67,3,19,1,0,6
26,5,21,1,0,9
69,2,20,2,0,1
58,1,21,2,110000,1
58,1,22,1,39900,1
29,1,21,2,100000,9
31,1,21,1,50000,9
28,3,20,2,38000,1
31,5,18,1,42000,1
35,5,19,1,60000,1
33,1,19,1,50000,1
33,1,21,2,65000,1
1,5,,1,,1
20,5,19,2,5000,9
22,5,21,2,6000,1
20,5,21,2,5000,9
60,1,16,1,48000,1
63,1,18,2,0,1
48,1,21,2,70000,6
46,1,21,1,467000,6
16,5,13,1,0,6
39,1,19,2,12000,1
52,1,16,1,19000,1
12,5,8,1,,1
30,5,23,2,48000,1
33,5,22,2,60000,1
28,5,22,1,22000,1
68,2,22,1,0,1
70,1,16,1,0,1
60,1,16,2,48000,1
67,1,19,1,0,1
71,1,16,2,0,1
54,1,19,1,93000,1
53,1,20,2,650,1
41,5,15,2,70000,1
66,1,20,1,85000,1
56,1,19,2,0,1
39,1,16,2,28000,9
36,1,16,1,32000,1
14,5,10,1,,1
53,1,20,2,30400,1
49,1,21,1,68000,1
46,1,22,1,200000,1
44,1,22,2,0,1
12,5,9,2,,1
12,5,6,1,,1
9,5,6,1,,1
59,3,19,1,72000,9
9,5,5,1,,9
37,1,17,2,66000,7
39,1,14,1,0,1
10,5,6,2,,9
7,5,4,2,,9
77,3,15,2,0,1
56,2,1,1,0,1
55,2,1,1,32000,1
87,2,11,2,0,1
21,5,19,1,20000,1
59,2,18,1,0,9
63,5,21,1,0,9
61,2,21,2,0,1
59,3,9,1,0,1
32,5,17,1,50000,1
34,5,19,1,260,1
30,5,20,2,1300,1
50,1,20,2,52000,1
61,1,22,1,0,1
16,5,14,2,1500,1
30,1,22,2,175000,1
31,1,21,1,90000,1
23,5,12,2,5700,1
2,5,,2,,1
0,5,,1,,1
23,5,16,1,24000,1
66,1,21,1,0,1
68,1,21,2,0,1
35,1,21,2,0,1
39,1,21,1,102000,1
37,1,24,1,75000,1
36,1,22,1,30000,1
3,5,1,1,,2
2,5,,1,,2
74,1,19,1,0,1
68,1,21,2,0,6
58,1,17,2,0,1
76,1,19,1,5000,1
72,2,21,2,63650,1
49,3,22,2,100000,1
15,5,11,2,,1
12,5,9,2,,1
65,1,20,1,0,1
66,1,21,2,0,1
36,1,22,1,72000,1
34,1,22,2,57000,1
0,5,,1,,1
41,1,22,1,6900,1
37,1,22,2,48000,6
10,5,8,1,,9
8,5,6,1,,9
79,2,21,1,0,1
81,2,15,2,14400,1
47,1,20,2,47200,6
48,1,11,1,4800,6
19,5,16,2,1600,6
15,5,11,1,,6
13,5,9,1,,6
65,1,1,1,5300,6
64,1,1,2,0,6
51,5,21,1,4000,1
68,1,22,1,0,1
68,1,22,2,0,1
19,5,18,1,1200,6
85,2,11,2,0,1
16,5,11,1,0,2
61,3,21,2,37900,1
61,3,22,2,50000,1
72,5,16,2,0,1
61,1,22,1,80000,1
53,1,21,2,75000,1
17,5,14,2,0,1
49,1,18,1,37000,8
51,1,16,2,0,8
24,5,20,2,3000,8
4,5,1,2,,8
90,5,13,2,0,8
18,5,18,2,2000,2
27,5,22,1,60000,1
90,2,21,2,0,1
41,1,18,1,50000,1
49,1,16,2,23500,1
52,3,20,1,14400,1
76,1,19,1,0,1
73,1,16,2,0,1
71,2,16,2,0,1
70,2,19,2,0,1
65,1,19,2,0,1
66,1,19,1,27000,1
68,1,19,2,15300,1
68,1,17,1,50000,1
65,5,16,1,730,1
36,5,21,1,130000,1
34,5,16,2,12000,1
69,1,22,1,0,1
68,1,22,2,0,1
18,5,18,2,900,1
63,1,22,2,100000,1
63,1,22,1,50000,1
48,5,22,2,103000,1
74,1,24,1,52000,1
52,1,19,2,20000,1
54,1,19,2,63000,1
54,1,17,1,45000,1
67,3,20,2,0,1
65,1,22,1,181000,1
52,1,21,2,118000,1
44,3,21,2,79000,1
38,5,21,1,48000,1
38,1,20,2,40800,1
43,1,18,1,44800,1
38,5,19,1,40000,1
28,1,19,2,42000,1
28,1,19,1,41500,2
31,5,16,1,33000,1
59,3,16,1,50000,1
19,5,16,1,0,1
23,1,20,1,24000,6
24,1,21,2,0,6
30,3,17,1,4000,1
0,5,,2,,1
20,5,14,2,800,1
67,4,23,1,0,1
67,1,16,2,0,1
70,1,16,1,0,1
60,4,18,2,0,1
30,5,20,2,43000,9
39,5,19,1,90000,9
10,5,7,2,,2
29,5,16,2,4800,2
45,5,21,1,383000,1
58,1,20,2,0,1
55,1,19,1,0,1
70,1,16,1,0,1
68,1,16,2,0,1
44,1,20,2,57000,1
58,1,18,1,42000,1
46,2,18,2,20000,1
94,2,19,2,0,1
33,1,12,2,9200,8
28,3,16,1,33000,1
1,5,,1,,1
52,3,20,2,100000,1
27,3,19,2,600,1
64,1,18,2,0,1
66,1,16,1,52000,1
27,5,19,1,13000,1
53,1,21,1,130000,1
54,1,20,2,100000,1
18,5,16,1,0,1
15,5,12,1,,1
79,1,16,2,0,1
80,1,16,1,165000,1
47,1,19,2,64000,1
49,1,15,1,92000,1
69,2,20,1,0,1
74,1,17,2,15000,1
77,1,16,1,0,1
59,3,21,2,34000,1
61,3,22,1,7100,1
59,1,20,2,65000,1
55,1,21,1,50000,1
40,1,22,1,150000,9
39,1,22,2,100000,1
5,5,2,1,,9
2,5,,1,,9
32,5,18,1,60000,1
49,3,24,2,30000,1
70,1,16,2,0,1
70,1,16,1,0,1
67,1,20,1,0,1
56,1,16,2,44000,1
55,3,21,2,118000,1
18,5,14,1,0,1
20,5,19,2,2000,1
87,1,22,1,0,6
85,1,16,2,0,6
72,2,16,2,0,1
29,1,19,1,90000,1
28,1,19,2,0,1
6,5,3,1,,1
4,5,1,2,,1
0,5,,2,,1
58,3,20,2,62600,1
19,5,18,1,0,1
16,5,13,2,0,1
37,1,21,1,72000,6
39,1,21,2,60000,6
1,5,,1,,6
45,1,16,2,8000,6
73,1,1,1,8000,6
71,1,1,2,0,6
16,5,12,2,0,6
22,5,16,1,23000,1
31,5,17,2,28500,1
4,5,1,2,,1
24,5,19,2,27000,1
65,1,21,2,-5100,1
66,1,24,1,166000,1
31,5,21,1,59000,1
65,1,21,1,0,1
65,1,21,2,0,1
30,5,23,2,45000,1
35,5,16,1,80000,1
61,1,18,1,57000,1
62,1,16,2,0,1
21,3,16,2,3500,1
1,5,,2,,1
53,3,20,2,40000,1
64,3,20,1,0,1
50,1,17,2,21000,1
55,1,16,1,110000,1
32,5,19,1,22800,1
26,3,18,2,0,1
21,1,13,2,0,1
3,5,1,2,,1
2,5,,1,,1
1,5,,2,,1
36,5,21,2,45800,1
18,5,16,2,3000,1
33,1,21,1,44000,6
37,1,21,2,10000,1
1,5,,2,,6
31,1,21,1,75000,1
31,1,21,2,5000,6
1,5,,1,,9
21,5,19,2,1900,6
86,2,19,2,0,1
67,1,16,2,0,1
65,1,16,1,52000,1
29,5,17,1,25000,9
53,1,23,1,220000,1
55,1,22,2,17900,1
19,5,16,1,1200,1
16,5,13,2,1000,1
63,5,18,2,43500,1
87,1,19,1,0,1
78,1,19,2,0,1
61,5,22,2,75000,1
51,1,22,2,75000,1
60,1,19,1,48000,1
24,5,20,2,20000,6
62,1,17,1,20000,6
50,1,17,2,0,6
13,5,10,2,,6
61,1,18,2,31000,1
61,1,22,1,65000,1
77,2,19,2,0,1
50,5,19,1,45000,1
69,5,16,1,0,1
41,5,1,1,0,1
71,2,17,2,0,1
19,1,16,2,0,9
19,1,16,1,24000,1
71,1,16,1,0,1
71,1,16,2,0,1
67,1,19,1,0,1
53,1,19,2,32000,1
85,2,22,2,0,1
67,3,22,1,5000,1
56,1,16,2,0,1
51,1,18,1,70000,1
67,3,23,2,200000,1
67,3,16,2,63000,1
55,3,19,1,1900,1
27,5,21,2,8000,6
25,5,21,1,4500,6
68,1,22,1,28600,1
66,1,21,2,12500,1
49,1,14,1,10700,1
43,1,16,2,1800,1
9,5,6,2,,1
43,1,20,2,0,1
47,1,21,1,76000,1
20,5,16,2,500,1
18,5,16,2,0,1
16,5,13,2,0,1
15,5,12,2,,1
12,5,9,2,,1
76,2,14,2,0,1
45,1,21,1,88000,1
49,1,18,2,0,1
66,3,21,2,0,1
58,1,22,1,104000,1
58,1,19,2,23000,1
15,5,11,2,,6
13,5,9,1,,6
85,1,18,1,0,1
77,1,21,2,0,1
78,1,21,1,0,1
37,5,14,1,0,1
40,1,21,1,36000,6
51,1,21,2,20000,6
37,1,20,1,30000,8
36,1,20,2,40000,8
16,5,13,1,0,8
13,5,9,1,,8
11,5,7,1,,8
38,1,20,1,110000,6
37,1,20,2,12000,6
9,5,6,1,,6
5,5,3,1,,6
13,5,9,1,,6
86,2,16,2,0,1
80,3,24,2,0,1
51,5,19,1,10000,1
62,2,16,1,56000,1
73,3,19,2,0,1
71,3,22,1,0,1
49,1,17,1,55000,1
52,1,15,2,32000,6
52,3,18,2,57000,6
65,1,16,1,0,1
67,1,16,2,0,1
87,1,18,2,0,3
78,1,18,1,0,1
41,1,20,2,35000,1
41,1,21,1,150000,1
15,5,12,2,,1
14,5,11,2,,1
32,1,21,2,0,1
32,1,22,1,140000,1
56,1,21,1,114000,8
53,1,16,2,9100,1
20,5,16,1,9500,6
18,5,14,1,0,6
16,5,12,1,0,6
66,1,21,1,0,1
67,1,21,2,0,1
48,5,21,1,5000,1
47,3,20,1,32000,1
27,1,20,1,3000,6
24,1,21,2,50000,6
27,5,21,1,54000,1
25,5,21,1,54000,1
31,1,22,2,46000,1
33,1,22,1,35000,1
1,5,,2,,1
57,5,20,1,0,1
52,1,16,1,60000,1
50,1,16,2,32000,1
21,5,19,1,6400,1
26,5,16,1,0,2
52,1,20,2,16100,1
70,1,19,1,0,1
25,5,18,1,2000,1
20,5,16,1,2500,1
67,1,16,1,0,1
68,1,21,2,0,1
24,1,19,1,24000,1
22,1,19,2,28000,1
39,1,21,2,33000,1
37,1,21,1,60200,1
2,5,,1,,1
72,1,21,1,68000,1
66,1,16,2,15000,1
30,1,21,2,33600,2
47,1,22,1,110000,2
6,5,3,2,,2
4,5,1,1,,2
57,2,6,2,0,2
94,2,16,1,42000,1
54,1,22,1,76000,2
41,1,19,2,80000,8
13,5,10,2,,9
24,5,19,1,20000,8
17,5,14,2,1500,8
25,1,21,2,0,1
63,1,19,1,0,1
57,1,19,2,53000,1
28,3,20,2,35000,1
40,5,1,1,0,1
77,1,19,1,0,1
59,1,16,2,26500,1
47,3,21,2,23000,1
61,1,18,2,25000,6
61,1,19,1,45000,6
40,1,22,1,110000,2
41,1,22,2,50000,1
10,5,7,1,,2
34,4,16,2,0,1
4,5,1,2,,1
23,1,16,1,79000,1
23,1,16,2,3100,1
2,5,,1,,1
0,5,,1,,1
31,4,19,2,10000,2
38,1,20,2,50000,1
44,1,21,1,94000,1
9,5,5,2,,1
60,1,22,2,32000,1
53,1,21,2,75000,1
67,1,22,1,50000,1
66,1,21,2,20000,1
23,5,16,1,5000,1
13,5,9,1,,1
42,5,19,1,72000,1
55,1,16,1,50000,1
46,1,21,2,28000,6
8,5,5,1,,9
33,1,21,1,40000,1
29,1,18,2,30000,1
2,5,,2,,1
72,1,24,1,25800,1
75,1,19,2,0,1
65,3,20,1,74000,1
13,5,10,2,,1
11,5,7,2,,1
75,2,21,2,29000,6
49,3,18,1,70000,1
51,3,20,2,35000,1
71,3,18,2,0,1
69,3,19,2,0,1
66,1,21,2,0,1
68,1,20,1,68000,1
36,3,20,2,36000,1
13,5,10,2,,1
8,5,5,2,,1
47,5,18,2,65000,1
12,5,10,2,,1
73,2,6,2,0,1
68,2,18,1,20330,1
55,5,16,2,0,1
36,5,16,1,10000,1
35,3,15,1,0,1
34,5,19,2,0,1
34,5,16,1,10000,1
62,1,21,1,130000,1
56,1,22,2,42000,1
86,1,23,1,0,1
86,1,19,2,0,1
53,5,19,1,3600,1
19,5,16,1,10000,1
47,1,16,2,0,9
31,5,21,1,77000,1
74,1,20,2,0,1
58,1,20,2,12000,6
65,1,21,1,110000,6
25,5,18,1,22000,6
48,1,20,1,95000,1
52,1,20,2,55000,1
17,5,14,1,8500,1
74,2,16,2,0,1
69,1,20,2,35000,1
75,1,1,1,0,1
40,1,21,2,150000,1
85,2,13,2,0,1
43,5,19,2,7900,9
70,2,16,1,0,1
52,5,10,1,0,1
51,1,22,2,8000,1
52,1,24,1,90000,1
17,5,14,1,0,1
50,3,20,2,37000,3
30,4,19,1,53000,1
23,5,6,2,4000,3
17,5,10,2,250,3
7,5,4,2,,1
5,5,2,1,,1
39,1,21,2,54000,6
42,1,17,1,62000,6
8,5,6,1,,6
6,5,5,2,,6
4,5,2,2,,6
2,5,,1,,6
39,5,18,2,0,6
37,5,18,2,40000,6
75,1,16,1,383000,6
58,3,1,2,15000,6
68,1,20,1,35100,1
67,1,18,2,0,1
89,1,22,1,0,1
84,1,21,2,0,1
54,1,21,1,115000,6
47,1,18,2,48000,6
13,5,10,1,,6
10,5,7,1,,6
63,1,21,1,41200,1
54,1,20,2,2000,1
38,3,17,2,24000,1
19,5,16,1,2000,1
18,5,16,1,120,1
15,5,12,2,,1
46,1,19,1,63000,1
44,1,19,2,22000,6
72,1,16,1,10500,1
59,1,21,2,40000,6
68,1,22,1,0,1
68,1,22,2,13900,1
65,5,19,2,0,6
65,1,19,2,0,6
23,5,19,2,20100,9
55,1,16,1,53000,1
67,2,20,2,0,1
68,3,19,2,0,1
36,1,19,1,60000,1
33,1,20,2,40000,1
12,5,9,1,,1
4,5,1,2,,1
58,3,21,2,54000,1
52,1,20,2,0,1
56,1,22,1,138000,1
23,5,20,2,10000,1
74,1,22,1,0,1
73,1,19,2,0,1
47,1,20,1,120000,1
25,1,16,2,85000,1
14,5,11,2,,9
1,5,,1,,1
46,3,21,2,45000,1
14,5,10,2,,1
34,1,24,1,75000,1
37,1,22,2,2000,1
56,1,19,2,41000,1
58,1,18,1,65000,1
83,2,16,2,0,1
50,1,16,2,14800,1
48,1,16,1,25000,1
31,5,16,1,10000,1
72,3,20,1,0,1
45,1,18,1,74000,1
45,1,19,2,9400,1
21,5,19,2,20900,1
19,5,16,2,3000,1
17,5,16,2,700,1
45,3,20,2,70000,1
22,5,19,1,20000,1
74,2,17,1,2400,1
22,5,16,1,31000,1
39,5,16,2,0,1
38,5,9,1,20000,1
9,5,6,2,,1
8,5,5,2,,1
3,5,1,2,,1
79,3,14,2,0,1
46,1,18,2,29000,1
56,5,24,1,4700,1
54,3,20,2,0,1
52,1,22,1,119000,1
50,1,22,2,63000,1
67,1,16,1,45000,1
63,1,16,2,4800,1
57,5,21,1,70000,1
34,1,22,2,74000,9
38,1,20,1,60000,1
15,5,11,2,,9
9,5,5,2,,9
74,1,15,1,0,1
74,1,15,2,0,1
51,1,21,1,125000,6
52,1,21,2,0,6
59,1,9,2,36000,6
53,1,14,1,30000,6
34,1,21,1,85000,1
29,1,20,2,70000,1
53,3,24,2,41000,1
53,3,20,1,55000,1
88,2,20,1,0,1
40,5,14,1,0,1
27,5,21,1,57000,9
27,5,21,1,42000,1
44,1,22,2,180000,1
43,1,19,1,40000,1
0,5,,1,,1
13,5,10,1,,1
18,5,19,2,1300,1
19,5,19,2,9000,1
48,5,22,1,98000,1
46,1,21,1,74000,6
42,1,18,2,0,6
15,5,13,2,,6
12,5,10,2,,6
9,5,7,1,,6
77,2,6,2,0,6
17,4,13,2,0,6
35,1,23,1,78000,1
31,1,21,2,0,1
8,5,4,1,,1
3,5,1,2,,1
34,5,23,2,225000,6
66,3,22,1,0,1
66,3,22,2,0,1
57,1,20,1,52000,1
62,1,21,2,55000,1
64,3,20,2,0,1
31,5,16,1,2600,1
57,2,20,2,7000,1
21,5,16,2,6600,1
18,5,19,1,0,1
19,5,19,1,800,1
57,1,20,1,26500,1
55,1,21,2,118000,1
63,1,22,1,0,1
63,1,22,2,23000,1
61,1,16,2,0,1
62,1,22,1,60000,1
57,5,17,1,0,1
56,5,17,2,0,1
57,3,16,1,32000,1
81,1,19,1,0,1
82,1,16,2,0,1
46,1,21,1,59000,1
45,1,22,2,120000,1
16,5,13,1,8000,1
38,3,14,1,58000,3
8,5,4,1,,3
8,5,3,2,,3
17,5,14,1,0,3
16,5,13,2,0,3
15,5,11,2,,3
40,4,12,2,12900,3
54,5,22,1,108000,1
55,1,21,1,16000,1
58,3,19,1,117000,1
55,1,21,1,110000,1
51,1,20,2,0,1
23,5,19,1,5000,1
19,5,19,2,1700,1
39,1,21,1,24000,1
36,1,21,2,40000,1
11,5,8,2,,1
7,5,5,2,,1
29,1,13,1,6000,1
28,1,13,2,1600,1
13,5,11,2,,1
7,5,5,1,,1
5,5,3,2,,1
3,5,1,2,,1
65,1,22,1,5400,1
67,1,21,2,61000,1
40,3,20,2,36000,1
16,5,13,2,0,1
14,5,11,2,,1
13,5,10,2,,1
10,5,7,1,,1
33,5,19,1,7400,1
46,1,20,2,25000,1
57,1,19,2,25000,1
26,5,20,1,21000,1
37,1,22,1,78000,1
36,1,22,2,0,1
7,5,4,2,,1
4,5,2,2,,1
83,2,19,2,0,1
38,3,16,2,21500,1
9,5,6,2,,1
52,3,20,1,0,1
60,1,20,2,51000,1
61,1,20,1,5000,1
74,2,16,2,0,1
54,1,19,2,29000,1
56,1,16,1,36500,1
36,1,19,1,45000,1
33,1,18,2,0,1
9,5,7,1,,1
2,5,,1,,1
10,5,8,1,,1
40,1,21,1,52000,1
32,1,22,2,45000,1
58,1,19,2,55000,9
62,1,20,1,30000,9
60,1,21,2,0,1
62,1,23,1,467000,1
34,1,21,2,0,1
8,5,5,1,,1
6,5,3,1,,2
3,5,1,2,,1
35,1,23,1,215000,1
21,1,20,2,29100,1
19,1,20,1,33900,1
28,3,20,2,35000,1
3,5,2,1,,1
29,5,17,1,30000,1
8,5,5,2,,1
67,3,16,1,0,1
32,1,22,1,125000,1
30,1,22,2,40000,1
60,3,20,2,0,9
51,3,20,1,8600,1
65,1,22,1,206000,1
64,1,22,2,0,1
54,1,20,1,55000,1
58,1,12,2,0,1
26,5,16,2,0,1
3,5,1,1,,1
62,5,21,1,60000,1
37,1,18,2,30000,1
39,1,18,1,80000,7
17,5,13,1,1000,9
10,5,7,1,,9
34,4,16,1,30000,1
2,5,,2,,1
6,5,4,1,,1
4,5,2,1,,1
56,4,16,1,75000,1
